Cancelled?;streamid;token;cancelable;recipient;sender;starttime;endtime;duration;deposit
YES;1888;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xec424e6398e2c79c589f32c2db1698321beadf9d;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1887;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1fff2d818b5fd8e7ce26c12ba0e2562c24783fd3;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1886;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x296fd18def6d96ea77a6d283370d22c7ddb02f72;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1885;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x63ee294c406f75c75385755895548ddc124bb0a5;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1884;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x69a8d8ec36b61f4915e6239987a9ec8e908e875a;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1883;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xe6cd00ebebc66f63a11067efb12f87f3fb4173ac;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1882;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb3f0412d8462a3f40e09ca2a355288ccbb04052e;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1881;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x4719b21261a5784581fb264cb5ac31571ea2f476;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1880;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x43981f542e7e162d808ee9a844f60210d96a75ae;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1879;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xe24854234189a24abb1f6822b083a0319285986b;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1878;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x3c7b06f5757f1bbb429e79db87c059477991437d;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1877;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x4bb949e339093abe47400b3718d8f674e3a81591;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1876;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x94ccd419f12baf6c8c4963d898543913c75f9eba;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1875;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x3c80eea8b0b5efaaa212d467a99478134c18b0a0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1874;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x5d41f9bf7b69e0a099f3ef6d842b5b87cd87759f;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1873;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xbcdaabc3b1e627618547877c178a063da8fd6926;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1872;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xdb4ab71c1817de308021168a022a6715ca55ef5a;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1871;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x6916d48c21927ab1efa96a19863a784ad468fd09;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1870;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x84dd9c58f38cc15116cdb4e3b4617d8bbdd0a78f;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1869;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1ce2bfecc59ca6774afdb7b958431de04c9aeda4;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1868;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8edce2d4d2a7892f93017eeb43e9742460547ec0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1867;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xd6eede21f47418d5d7c02e69c23409b5d7170e2c;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1866;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8dad6ebaa9aa979c9556f8256b3b1bb30e61aaa0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1865;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc84104470ffde466d5de1f9e7b5cdecd2177c878;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1864;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x7e59286097632f3106ea411e3272eaca88ca0dbf;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1863;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x644b63e356291d549ceae65c8be6fe2f9ad7dcd6;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1862;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x576de16156837dc7b72298d9c3d5f0f90fa35a9c;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1861;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xed783e332b059894379666dbd2f2aa414f2d1286;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1860;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xaa66173809009649bcd4672eb02d0d2fb5b13a26;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1859;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xfcd1a2c90ffcda9aee4bfa677e0c5159731402c0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1858;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xcf1ce98bed515a88db6e9ad55f7fe6a50daf8e79;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1857;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xcec99f2c22df4f053e6d8dde38d4a2e6ac1fdaa2;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1856;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x359af14f0383370b559c39fa2e2915f4ccd67330;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1855;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x28f37f7f6a25b31b1c7a0edfb72841c3e67b61b0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1854;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc15d48f33e51d1b51e9eefa9e79032712bcdd2b9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1853;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb8aec2fffddac8ced2c6af7efea65334ac4a6052;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1852;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xa0bf5b7d5beab341ce9aacb2d2f9ffb09ea05088;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1851;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x6748f2c530a9bb93c9805cf1b5f7dceb1b4d1b91;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1850;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xd950e78e00723b7c68b38fe609819d34261546a7;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1849;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x7c5dcc5b246af0c63db4bcd062b25970a640b231;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1848;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1b90cc907694e8dbb920a7e12231677afff786ed;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1847;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x0a90ae0d876fba96761cbcdd0f1b922ed8a929bb;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1846;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc69bcd0a5592a01f24b5fb2dc426c7c1e0022fef;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1845;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xbad1a78848bf6d9f5e62ec21f14b9365f0dc4282;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1844;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x34b14881deab477962631d0c777a31ca2b713668;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1843;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc9d18d14a766af2e709c6f271c5af2df237aee38;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1842;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x414e12f6602ef1721baecb5898e8af1f3d7d4191;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1841;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xfe2acbc843cd1047584c04c407114f87ee6743a8;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1840;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xacc8d60c08003051affd95096aedaffcd32c8e13;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1839;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1c4525ade5f7ae7b216a68ebe76aaa708f5c9ba2;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1838;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc37eb01f76665e18e3b51c7c1158c850917d6e72;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1837;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x873f836c3f2caa695d0726406cd6261acc568b37;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1836;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x069c100482fe9307f99e9a4a052743ff7c46627f;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1835;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xee6d407885c3ed0cc2e400156b1ef61053d42ef9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1834;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8f176dd814b203f3fbfb33e644b0ff65848dd4af;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1833;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x7a569f71f0b7ee6175e12b14bc96c10177116887;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1832;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc1bea83eb0b10b555e1dfe0ba078ad582dc829de;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1831;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb98e5f65fa4120db83896537f85f60d3acb69984;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1830;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x9a7346d58048060ff4cf23fe72414b6a4bc235a0;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1829;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xf0cb94d1fcea053145f82f96336f5f94e338e74d;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1828;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x118f6d06ce629db9f9d95e075b7c9f7eca453af5;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1827;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x753678c1c212c90a7e1675557c6a39f311d561b7;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1826;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xff6442209c362456ca1e06072991dc4635e9db95;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1825;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xd55ee20dc426468e200d1f44e8f94a2d2bc0376c;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1824;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xa74babceca70bd74d4bf3d84bc2e13d1f3d8aeb2;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1823;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x113b43e6d2cf8b505580101e4e71ef1a3ea1afa6;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1822;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1a344c673ed8fe158f8a38a7729d8b98af512e3f;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1821;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x9514d1257f66b26f69f7845f38d7b84b79b2208a;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1820;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x4f504246ed5effc8847c865f8b67cfca9ad08dc9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1819;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xdc25526fbcb2486771a1b5974bbbd91b0c255aed;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1818;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x87f2e1eab975a197605a4408cd59db90338fbdae;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1817;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x9edb8b03865aa37a155b81422ab0c1f0f30b4e76;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1816;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x1bfca38a4c458f8db18560249bf54de0c89eec23;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1815;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x3c8eba8da9aa3c11ee0ce3b68bdd81132ad09ef8;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1814;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x5ef9b48d33370b9e9cdc60f99499ff4a5f579c15;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1813;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x5e8561e354c1997aed30dddfe849d64b68a20297;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1812;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x18b143238584cb4a3cbf5feaa286a18d9e1491cb;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1811;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x42a6a5d53f5ad803d9266fc7e99fb2b039a22ad9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1810;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x3ad576b87ee043811e6a73aae135d75a83d95355;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1809;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8106848b353305b6d0c2fb2f2bd40f5de645798d;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1808;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xf275c6078c3db4b7b69d3beece1207388f025687;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1807;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x738711fc65637eac17dcafad5a745f465b661d88;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1806;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xe439283a82903d3f2b623705fd805320f464b0e1;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1805;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x96373d84487e69aa10ef3e8d2ece28ca27b50add;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1804;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xbbe759d284ea0b51b261deb5023ab76554e49ab1;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1803;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x17b3d97821b02d4ce68f6d83a7a3c2f487f40d98;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1802;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xf29091aa9a3522deddc9277d3a3377c482c06a9a;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1801;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8b70a3c41f0f24b1cc7f73a77b8d7d28c39c9496;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1800;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xa3c6f4e16f3b54ae39bef2f6539893e46abc226f;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1799;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x0e7a4843cd859e628c14fad56070741f5bd0d192;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1798;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb3ad2f9f08bb3c5a7ac2c23e476c47cd47d7be18;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1797;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x4992695e74e9b7b96fd58ff7bff6f52192e3b0a8;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1796;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xca007673b210bc8907a38ec6d896f3f6e4df081e;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1795;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x09dd3c7d63fafc2baf47a7b219507c88fc2a9bcb;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
YES;1794;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x395976e0c147843d21763aeeb912e6fc930b7aa6;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993643;1757545643;15552000;500
